timestamp_sec,cmd,bg,bk,row,col
4.81990962e-04,rd,110,11,,001000100
4.82027602e-04,pre_pb,110,11,,
4.82072642e-04,act,110,11,1111000010001001,
4.82089362e-04,rd,110,11,,010000100
4.82111682e-04,pre_pb,110,11,,
4.82127522e-04,act,110,11,1111000010010010,
4.82144242e-04,rd,110,11,,001000100
4.82180882e-04,pre_pb,110,11,,
4.82225122e-04,act,110,11,1111000010001001,
4.82241842e-04,rd,110,11,,010000100
4.82265042e-04,pre_pb,110,11,,
4.82280882e-04,act,110,11,1111000010010010,
4.82297522e-04,rd,110,11,,001000100
4.82334162e-04,pre_pb,110,11,,
4.82378402e-04,act,110,11,1111000010001001,
4.82395042e-04,rd,110,11,,010000100
4.82418242e-04,pre_pb,110,11,,
4.82434082e-04,act,110,11,1111000010010010,
4.82450722e-04,rd,110,11,,001000100
4.82480802e-04,pre_pb,110,11,,
4.82532322e-04,act,110,11,1111000010001001,
4.82549042e-04,rd,110,11,,010000100
4.82571602e-04,pre_pb,110,11,,
4.82587522e-04,act,110,11,1111000010010010,
4.82604002e-04,rd,110,11,,001000100
4.82634082e-04,pre_pb,110,11,,
4.82714082e-04,act,110,11,1111000010001001,
4.82730802e-04,rd,110,11,,010000100
4.82747442e-04,pre_pb,110,11,,
4.82763202e-04,act,110,11,1111000010010010,
4.82779842e-04,rd,110,11,,001000100
4.82809842e-04,pre_pb,110,11,,
4.82862402e-04,act,110,11,1111000010001001,
4.82879042e-04,rd,110,11,,010000100
4.82900642e-04,pre_pb,110,11,,
4.82916562e-04,act,110,11,1111000010010010,
4.82933202e-04,rd,110,11,,001000100
4.82963202e-04,pre_pb,110,11,,
4.83013842e-04,act,110,11,1111000010001001,
4.83030562e-04,rd,110,11,,010000100
4.83053042e-04,pre_pb,110,11,,
4.83068962e-04,act,110,11,1111000010010010,
4.83085682e-04,rd,110,11,,001000100
4.83115682e-04,pre_pb,110,11,,
4.83133922e-04,ref_sb,,11,,
4.83268802e-04,act,110,11,1111000010001001,
4.83285522e-04,rd,110,11,,010000100
4.83302242e-04,pre_pb,110,11,,
4.83318162e-04,act,110,11,1111000010010010,
4.83334882e-04,rd,110,11,,001000100
4.83371442e-04,pre_pb,110,11,,
4.83415602e-04,act,110,11,1111000010001001,
4.83432322e-04,rd,110,11,,010000100
4.83455522e-04,pre_pb,110,11,,
4.83471362e-04,act,110,11,1111000010010010,
4.83488082e-04,rd,110,11,,001000100
4.83524722e-04,pre_pb,110,11,,
4.83568882e-04,act,110,11,1111000010001001,
4.83585602e-04,rd,110,11,,010000100
4.83608162e-04,pre_pb,110,11,,
4.83624002e-04,act,110,11,1111000010010010,
4.83640642e-04,rd,110,11,,001000100
