file,num_banks,min,max,mean,median,std,variance
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=15--00000.csv,15,3.999999999195619e-10,6.304799999999784e-07,7.853821873485647e-09,5.280000000003446e-09,2.5078612522784743e-08,6.289368060679757e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=15--00001.csv,15,3.999999999195619e-10,6.320799999999819e-07,7.865878387713944e-09,5.280000000000058e-09,2.523580385141319e-08,6.368457960270008e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=15--00002.csv,15,3.999999999195619e-10,6.043999999999971e-07,7.853709002452644e-09,5.280000000003446e-09,2.502276127046394e-08,6.261385815986303e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=16--00000.csv,16,3.999999999195619e-10,6.30159999999956e-07,7.771240951410563e-09,5.1199999999244905e-09,2.506171492224219e-08,6.280895548437369e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=16--00001.csv,16,3.999999999195619e-10,6.005599999999453e-07,7.772614200887603e-09,5.040000000027314e-09,2.5012070850717165e-08,6.256036882412953e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=16--00002.csv,16,3.999999999195619e-10,6.274399999999826e-07,7.773584007931905e-09,5.119999999978701e-09,2.5160595239337553e-08,6.330555527977756e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00001.csv,7,3.999999999195619e-10,7.56640000000022e-07,1.0296450133352211e-08,5.839999999974858e-09,2.794467609480179e-08,7.809049220433865e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00002.csv,7,3.999999999195619e-10,5.432800000000583e-07,1.011379297311431e-08,5.839999999974858e-09,2.634839318901241e-08,6.942378236427955e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=8--00000.csv,8,3.999999999195619e-10,5.036799999999985e-07,9.720620106534017e-09,4.559999999993736e-09,2.661074574355141e-08,7.081317890279395e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=8--00001.csv,8,3.999999999195619e-10,4.896000000000029e-07,9.720748033557874e-09,4.559999999993736e-09,2.6565353814808082e-08,7.057180233059383e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=8--00002.csv,8,3.999999999195619e-10,5.010400000000307e-07,9.712635566030791e-09,4.559999999993736e-09,2.6699187698625585e-08,7.128466237664398e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=9--00000.csv,9,3.999999999195619e-10,4.643999999999612e-07,9.597123146096126e-09,5.200000000038507e-09,2.638494076732005e-08,6.961650992949875e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=9--00001.csv,9,4.000000000008771e-10,9.92720000000003e-07,9.605984377071387e-09,5.279999999935683e-09,2.6648004061888085e-08,7.101161204824038e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=9--00002.csv,9,3.999999999195619e-10,4.9120000000002e-07,9.60011592899689e-09,5.200000000038507e-09,2.634010271031048e-08,6.938010107897055e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00000.csv,7,3.999999999195619e-10,5.350400000000239e-07,1.024618028381455e-08,5.920000000088875e-09,2.8061043441857615e-08,7.874221590458203e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00001.csv,7,3.9999999997377203e-10,5.421599999999799e-07,1.0170639717043674e-08,5.999999999986051e-09,2.7153901224969702e-08,7.373343517354111e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00002.csv,7,3.999999999195619e-10,5.47440000000024e-07,1.0240904540338604e-08,5.999999999986051e-09,2.805214808857375e-08,7.869230123832718e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00000.csv,12,3.999999999195619e-10,1.0355999999999126e-06,8.936635728905013e-09,5.200000000038507e-09,2.6413991607318277e-08,6.976989526314804e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00001.csv,12,3.999999999195619e-10,6.005600000000538e-07,8.935034231106184e-09,5.200000000038507e-09,2.6342823031435672e-08,6.939443252655377e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00002.csv,12,3.999999999195619e-10,5.771999999999375e-07,8.933671092033985e-09,5.200000000038507e-09,2.6314613579744964e-08,6.924588878512981e-16
